"CountryRegionName","Education","Occupation","Gender","MaritalStatus","HomeOwnerFlag","NumberCarsOwned","NumberChildrenAtHome","TotalChildren","YearlyIncome","Age"
"Australia","Bachelors","Skilled Manual","M","M","1",1,1,1,62501,38
"Australia","Bachelors","Skilled Manual","M","S","0",1,0,0,60339,39
"Australia","Bachelors","Clerical","M","M","1",2,1,2,85757,39
"Australia","Bachelors","Management","F","S","0",2,0,0,112042,37
"Australia","Bachelors","Management","F","S","0",1,0,0,110267,36
"Australia","Bachelors","Management","M","S","1",1,0,0,112804,39
"Australia","Bachelors","Management","F","S","1",2,0,0,110590,39
"Australia","Bachelors","Management","M","M","1",2,0,0,105642,40
"Australia","Bachelors","Management","F","S","1",2,0,0,108543,40
"Australia","Bachelors","Skilled Manual","M","S","0",2,0,0,52091,40
"Australia","Bachelors","Clerical","F","S","0",2,0,0,84889,41
"Australia","Bachelors","Manual","M","M","0",1,1,2,34874,41
"United States","Bachelors","Skilled Manual","F","M","0",0,0,1,57972,37
"United States","Bachelors","Clerical","M","M","1",3,0,2,79011,36
"United States","Bachelors","Management","F","S","0",2,0,0,110911,36
"United States","Partial College","Clerical","F","S","0",1,0,0,85713,25
"United States","Partial College","Clerical","M","M","0",1,0,0,85970,25
"Australia","High School","Manual","F","S","1",1,1,1,26570,60
"Australia","Partial College","Management","M","S","1",2,0,1,111928,60
"Canada","High School","Skilled Manual","M","S","0",1,0,0,53575,26
"Canada","High School","Clerical","M","S","0",0,0,0,84287,26
"United States","Partial College","Clerical","F","S","0",2,0,0,86642,26
"United States","Partial College","Clerical","M","M","0",0,0,0,76807,26
"United States","Partial College","Management","M","M","0",2,0,0,102692,26
"United States","Partial College","Clerical","M","M","0",2,0,0,78874,26
"Australia","Partial High School","Manual","M","M","1",1,1,2,30911,59
"Australia","Partial College","Skilled Manual","M","S","1",1,0,1,61043,58
"Australia","Partial College","Clerical","M","M","1",0,2,2,82684,58
"Australia","Partial College","Manual","F","M","1",1,1,2,32932,58
"Australia","Partial College","Skilled Manual","M","M","1",1,1,2,57506,58
"Australia","Partial High School","Skilled Manual","F","M","1",1,0,2,60267,58
"Australia","High School","Skilled Manual","F","M","1",0,0,2,55969,57
"Australia","High School","Skilled Manual","F","M","1",1,1,2,58918,57
"Australia","High School","Skilled Manual","M","M","1",1,1,2,51219,57
"Australia","High School","Skilled Manual","F","M","1",0,0,2,51038,57
"Australia","Partial High School","Skilled Manual","F","M","1",0,1,2,60445,56
"United States","Partial College","Skilled Manual","F","M","0",2,0,0,57167,26
"Canada","Partial High School","Manual","F","S","0",1,0,0,35666,27
"Australia","Partial High School","Manual","F","M","1",0,0,2,28892,56
"Australia","Partial College","Management","M","M","1",1,1,2,104520,56
"United States","Partial College","Skilled Manual","M","M","0",1,0,0,53990,27
"United States","Partial College","Clerical","F","M","0",3,0,0,81882,27
"United States","Partial College","Management","F","M","1",3,0,0,109807,27
"United States","Partial College","Skilled Manual","M","M","0",1,0,0,58125,28
"Australia","Partial High School","Skilled Manual","M","M","1",1,1,2,51888,55
"Australia","High School","Clerical","M","S","1",0,0,0,78379,54
"Australia","High School","Skilled Manual","F","M","1",2,0,2,51601,54
"Australia","High School","Skilled Manual","F","M","1",1,0,2,53046,54
"Australia","High School","Skilled Manual","M","M","1",2,1,2,53955,54
"United States","Partial High School","Skilled Manual","F","S","0",1,0,0,54764,24
"Australia","High School","Skilled Manual","M","M","1",0,1,2,51710,53
"Australia","High School","Clerical","M","S","1",0,0,0,86263,53
"Australia","Partial College","Clerical","F","S","1",2,0,0,81239,53
"United States","Partial College","Management","F","M","0",1,0,0,103734,24
"Australia","Partial College","Manual","F","M","1",0,0,2,31293,52
"Australia","Partial College","Clerical","M","M","1",3,1,2,78873,52
"Australia","Partial College","Management","F","M","1",3,1,2,105087,51
"Australia","Graduate Degree","Clerical","M","M","1",1,0,2,85472,51
"Australia","Partial College","Manual","M","M","1",0,0,1,32309,50
"Australia","Partial College","Manual","F","S","0",1,0,0,33971,50
"Australia","Partial College","Skilled Manual","M","M","1",1,0,2,55990,50
"Australia","Partial College","Clerical","M","M","1",1,1,2,78473,50
"United States","High School","Skilled Manual","M","M","0",1,0,0,51473,29
"United States","High School","Skilled Manual","F","S","0",0,0,0,56577,29
"United States","High School","Skilled Manual","M","M","0",0,0,0,59516,29
"United States","Partial College","Skilled Manual","F","M","0",0,0,0,56880,31
"United States","Partial College","Management","F","M","1",3,0,0,111100,31
"United States","Partial College","Skilled Manual","M","S","0",0,0,0,52185,28
"Australia","High School","Skilled Manual","F","S","1",1,0,0,55895,49
"Australia","High School","Clerical","F","S","1",1,0,0,82471,49
"Australia","High School","Manual","M","M","1",1,0,2,35987,49
"Australia","High School","Skilled Manual","F","S","1",1,0,0,57976,49
"Australia","High School","Clerical","F","S","1",1,0,0,81630,50
"Australia","High School","Clerical","F","S","1",3,0,0,85657,48
"Australia","High School","Manual","M","S","0",0,0,0,34830,48
"Australia","High School","Skilled Manual","F","S","1",2,0,0,53084,47
"Australia","High School","Manual","M","S","0",0,0,0,25963,47
"Australia","High School","Manual","F","S","0",0,0,0,29092,47
"Canada","High School","Clerical","F","S","0",3,0,0,83588,31
"Australia","Graduate Degree","Management","M","S","1",2,0,0,106137,45
"Australia","Graduate Degree","Manual","M","M","1",1,1,2,31855,45
"United States","Bachelors","Clerical","F","M","1",2,0,1,84153,38
"United States","Graduate Degree","Professional","F","S","1",2,0,0,128124,38
"United States","Graduate Degree","Clerical","F","M","1",0,0,2,83447,38
"United States","Partial High School","Manual","M","S","0",0,0,0,35956,47
"United States","High School","Clerical","F","S","1",0,0,0,83357,47
"United States","Partial College","Clerical","M","M","1",2,0,2,84759,47
"United States","Partial College","Clerical","F","M","1",3,1,2,79431,47
"United States","Bachelors","Skilled Manual","M","M","1",2,1,2,60084,47
"United States","Bachelors","Clerical","F","S","1",0,0,0,84873,48
"United States","Partial College","Manual","M","S","0",0,0,0,33177,47
"Canada","Partial College","Clerical","M","M","1",0,1,2,84210,47
"Australia","Bachelors","Clerical","F","M","1",2,1,1,77749,37
"Australia","Graduate Degree","Management","F","M","1",2,1,2,108831,37
"Australia","Partial College","Clerical","M","S","1",1,0,0,82971,42
"Australia","Partial College","Manual","M","S","0",0,0,0,30695,42
"Australia","Bachelors","Skilled Manual","M","M","1",1,1,1,55719,42
"Australia","Partial College","Clerical","M","M","1",3,0,1,82787,43
"Australia","Partial College","Clerical","F","S","1",2,0,0,81108,43
